id,title,strategy_type,asset_classes,complexity_score,execution_type,requires_machine_learning,evidence_grade,holding_period,directionality,capacity,decay_status,primary_source_url,path
cross-sectional-momentum-jegadeesh-titman,Cross-Sectional Momentum (Jegadeesh & Titman),cross-sectional-factors,equities,3,Mechanical,False,verified-primary,3-12 months (K); 6 months in the paper's headline configuration,long-short,high,partially-decayed,https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf,strategies/cross-sectional-factors/cross-sectional-momentum-jegadeesh-titman/
momentum-crashes-daniel-moskowitz,Momentum Crashes & Dynamic Momentum Weighting (Daniel & Moskowitz),cross-sectional-factors,equities|futures|commodities|fx|fixed-income,6,Quant,False,verified-primary,"monthly rebalance, overlaid on a 12-month-formation momentum book",long-short,high,intact,https://www.kentdaniel.net/papers/published/jfe_16.pdf,strategies/cross-sectional-factors/momentum-crashes-daniel-moskowitz/
avellaneda-stoikov-optimal-quoting,Avellaneda–Stoikov Optimal Market Making,market-making-microstructure,equities|futures|crypto|fx,8,Quant,False,verified-primary,seconds to minutes (continuous two-sided quoting; inventory mean-reverts to flat),two-sided-quoting,low,intact,https://www.math.nyu.edu/~avellane/HighFrequencyTrading.pdf,strategies/market-making-microstructure/avellaneda-stoikov-optimal-quoting/
gueant-lehalle-fernandez-tapia-bounded-inventory,"Bounded-Inventory Market Making (Guéant, Lehalle & Fernandez-Tapia)",market-making-microstructure,equities|futures|crypto|fx,8,Quant,False,verified-primary,seconds to minutes; continuous two-sided quoting with a hard inventory bound,two-sided-quoting,low,intact,https://arxiv.org/pdf/1105.3115,strategies/market-making-microstructure/gueant-lehalle-fernandez-tapia-bounded-inventory/
guilbaud-pham-limit-and-market-orders,Market Making with Limit and Market Orders (Guilbaud & Pham),market-making-microstructure,equities|futures|crypto,9,Quant,False,verified-primary,seconds; continuous quoting with occasional market-order flattening,two-sided-quoting,low,intact,https://arxiv.org/pdf/1106.5040,strategies/market-making-microstructure/guilbaud-pham-limit-and-market-orders/
order-flow-imbalance-price-impact,"Order Flow Imbalance & Price Impact (Cont, Kukanov & Stoikov)",market-making-microstructure,equities|futures|crypto,6,Quant,False,verified-primary,seconds; a quote-adjustment and impact-measurement input rather than a standalone holding-period strategy,two-sided-quoting,low,intact,https://arxiv.org/pdf/1011.6402,strategies/market-making-microstructure/order-flow-imbalance-price-impact/
factor-residual-statistical-arbitrage,Factor-Residual Statistical Arbitrage (Avellaneda & Lee),statistical-arbitrage,equities|etfs,7,Quant,False,verified-primary,days (mean-reversion time filtered to under 30 days),market-neutral,medium,substantially-decayed,https://www.math.nyu.edu/~avellane/AvellanedaLeeStatArb20090616.pdf,strategies/statistical-arbitrage/factor-residual-statistical-arbitrage/
ornstein-uhlenbeck-optimal-bands,Optimal Mean-Reversion Bands — OU Double Stopping (Leung & Li),statistical-arbitrage,equities|etfs|commodities|fx,7,Quant,False,verified-primary,days to weeks; determined by the fitted mean-reversion speed,market-neutral,medium,intact,https://arxiv.org/pdf/1411.5062,strategies/statistical-arbitrage/ornstein-uhlenbeck-optimal-bands/
pairs-trading-distance-method,"Pairs Trading — Distance Method (Gatev, Goetzmann & Rouwenhorst)",statistical-arbitrage,equities,5,Quant,False,verified-primary,3-4 months average (3.75 months reported); 6-month maximum trading window,market-neutral,medium,substantially-decayed,http://stat.wharton.upenn.edu/~steele/Courses/434/434Context/PairsTrading/PairsTradingGGR.pdf,strategies/statistical-arbitrage/pairs-trading-distance-method/
time-series-momentum-futures,"Time Series Momentum (TSMOM) — Moskowitz, Ooi & Pedersen",trend-following,futures|commodities|fx|indices|fixed-income,4,Mechanical,False,verified-primary,1 month,long-short,high,partially-decayed,https://w4.stern.nyu.edu/facdir/lpederse/papers/TimeSeriesMomentum.pdf,strategies/trend-following/time-series-momentum-futures/
variance-risk-premium-harvesting,Variance Risk Premium Harvesting (Carr & Wu),volatility-and-variance,options|indices|equities,7,Quant,False,verified-primary,30 days (monthly variance swap horizon),long-short,medium,partially-decayed,https://engineering.nyu.edu/sites/default/files/2019-01/CarrReviewofFinStudiesMarch2009-a.pdf,strategies/volatility-and-variance/variance-risk-premium-harvesting/
